U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)		
25.02.2022	16:58:17				
2.04446	-0.01011	0.01	0	1	0
2.42543	-0.00847	0.01	0.1	31	0
1.52635	-0.01321	0.01	0	12	0
1.93288	-0.00805	0.01	0	22	0
1.57173	-0.00811	0.01	0	13	0
4.59811	0.0076	0.01	0	53	0
5.13354	0.01087	0.01	0	2	0
5.92418	0.01366	0.01	0	6	0
3.89304	-0.00368	0.01	0	61	0
5.87974	0.00901	0.01	0	7	0
4.83368	0.00484	0.01	0	16	0
4.29102	0.00702	0.01	0	50	0
2.71393	-0.00834	0.01	0	7	0
2.8337	-0.00658	0.01	0	11	0
2.87819	-0.00487	0.01	0	15	0
3.18413	-0.00249	0.01	0	14	0
3.58502	-0.0013	0.01	0	82	0
3.92574	0.00328	0.01	0	48	0
1.93654	-0.01223	0.01	0	9	0
2.36164	-0.00702	0.01	0	7	0
2.86469	-0.00368	0.01	0	6	0
2.65178	-0.00359	0.01	0	5	0
1.86344	-0.00908	0.01	0	14	0
2.50046	-0.00876	0.01	0	5	0
1.7744	-0.0138	0.01	0	6	0
1.66159	-0.01092	0.01	0	10	0
1.7295	-0.00817	0.01	0	7	0
1.68851	-0.00846	0.01	0	9	0
2.3955	-0.00477	0.01	0	4	0
2.01428	-0.01366	0.01	0	1	0
2.28598	-0.01206	0.01	0	19	0
2.89224	-0.0042	0.01	0	0	0
2.97725	-0.00355	0.01	0	18	0
1.62824	-0.01063	0.01	0	14	0
1.83147	-0.01338	0.01	0	5	0
1.62463	-0.01322	0.01	0.1	7	0
1.74402	-0.0158	0.01	0	1	0
1.82458	-0.00915	0.01	0	10	0
1.88417	-0.01407	0.01	0.1	33	0
2.16072	-0.00732	0.01	0	12	0
2.55433	-0.00755	0.01	0	24	0
1.64863	-0.01241	0.01	0	2	0
1.9313	-0.01405	0.01	0.3	34	0
2.27552	-0.00404	0.01	0	20	0
2.26739	-0.00364	0.01	0	52	0
2.04126	-0.0069	0.01	0	15	0
2.16021	-0.00027	0.01	0	219	0
1.94409	-0.00934	0.01	0	9	0
2.51648	-0.00375	0.01	0	7	0
1.75688	-0.0061	0.01	0	2	0
1.74642	-0.00531	0.01	0	36	0
26.02.2022	00:00:17				
0					
12.82					
4.98553	0.00672	0.01	0	5	0
5.65562	0.01321	0.01	0	23	0
5.07736	0.01131	0.01	0	12	0
3.62135	-0.00353	0.01	0	68	0
5.81954	0.0036	0.01	0	6	0
5.4579	0.0008	0.01	0	102	0
5.05862	0.00135	0.01	0	206	0
4.93755	0.0115	0.01	0	6	0
2.55505	-0.00731	0.01	0	26	0
2.58436	-0.01233	0.01	0	6	0
3.14246	-0.01009	0.01	0	3	0
2.81171	-0.011	0.01	0	17	0
3.39207	-0.00646	0.01	0	13	0
3.1016	-0.00834	0.01	0	1	0
3.75489	-0.00476	0.01	0	18	0
1.88623	-0.01699	0.01	0	3	0
1.91452	-0.01689	0.01	0	6	0
2.78519	-0.00877	0.01	0	1	0
2.80415	-0.00755	0.01	0	18	0
1.65125	-0.01274	0.01	0	2	0
2.32936	-0.01139	0.01	0	6	0
1.60701	-0.0194	0.01	0	0	0
1.51874	-0.01881	0.01	0	9	0
1.5828	-0.01313	0.01	0	5	0
1.49595	-0.01181	0.01	0	2	0
1.62595	-0.01305	0.01	0	2	0
5.0044	0.0066	0.01	0	2	0
4.61937	0.00158	0.01	0	10	0
4.37942	-0.00657	0.01	0	73	0
5.56588	0.00971	0.01	0	16	0
4.85295	0.00325	0.01	0	9	0
5.65785	0.00297	0.01	0	196	0
5.6513	0.00371	0.01	0	14	0
5.02043	0.0096	0.01	0	4	0
2.81704	-0.00832	0.01	0	14	0
2.6866	-0.00655	0.01	0	13	0
3.02728	-0.00758	0.01	0	11	0
2.99765	-0.00719	0.01	0	41	0
3.59631	-0.00864	0.01	0	8	0
3.17132	-0.00893	0.01	0	6	0
3.13301	-0.00618	0.01	0	23	0
1.96749	-0.01029	0.01	0	0	0
2.26611	-0.012	0.01	0	3	0
2.25863	-0.01489	0.01	0	1	0
2.73163	-0.01161	0.01	0	1	0
1.87879	-0.01702	0.01	0.1	7	0
2.04879	-0.01194	0.01	0	4	0
2.63634	-0.00685	0.01	0	10	0
1.59176	-0.01392	0.01	0	15	0
2.04804	-0.0163	0.01	0	3	0
2.43004	-0.01004	0.01	0	9	0
1.52409	-0.01301	0.01	0	6	0
1.93453	-0.0109	0.01	0	13	0
1.58294	-0.0131	0.01	0	16	0
4.57049	0.00288	0.01	0	42	0
5.13669	0.00841	0.01	0	0	0
6.01466	0.0089	0.01	0	37	0
3.85016	-0.00369	0.01	0	7	0
5.85077	0.00782	0.01	0	8	0
4.86844	0.0008	0.01	0	80	0
4.33269	-0.00163	0.01	0	1	0
2.71799	-0.01024	0.01	0	5	0
2.83044	-0.00804	0.01	0	16	0
2.87575	-0.00579	0.01	0	6	0
3.20073	-0.00666	0.01	0	4	0
3.60792	-0.00381	0.01	0	63	0
3.94095	-0.00584	0.01	0	2	0
1.92581	-0.01472	0.01	0.1	10	0
2.3681	-0.01081	0.01	0	9	0
2.86478	-0.00661	0.01	0	17	0
2.64917	-0.00844	0.01	0	11	0
1.86294	-0.01225	0.01	0	9	0
2.49948	-0.01162	0.01	0	4	0
1.77792	-0.01679	0.01	0.1	8	0
1.66677	-0.01354	0.01	0	16	0
1.72695	-0.01496	0.01	0.2	25	0
1.69918	-0.01389	0.01	0	0	0
2.38993	-0.01394	0.01	0	10	0
2.00638	-0.01742	0.01	0.1	8	0
2.29108	-0.0154	0.01	0	13	0
2.89982	-0.00732	0.01	0	1	0
2.99007	-0.00551	0.01	0	8	0
1.63519	-0.01325	0.01	0	13	0
1.83036	-0.01765	0.01	0	0	0
1.62596	-0.0155	0.01	0.1	1	0
1.74583	-0.01424	0.01	0	2	0
1.8192	-0.01241	0.01	0	1	0
1.88335	-0.01166	0.01	0	4	0
2.16329	-0.01091	0.01	0	13	0
2.56504	-0.01268	0.01	0	0	0
1.65224	-0.01575	0.01	0.1	1	0
1.92685	-0.01268	0.01	0	6	0
2.27986	-0.00667	0.01	0	6	0
2.26894	-0.00987	0.01	0	1	0
2.0346	-0.01322	0.01	0	8	0
2.16257	-0.01133	0.01	0	6	0
1.95472	-0.01588	0.01	0.1	18	0
2.51687	-0.00539	0.01	0	3	0
1.75949	-0.01303	0.01	0	2	0
1.75308	-0.01361	0.01	0	2	0
26.02.2022	06:00:19				
0					
12.74					
5.08215	0.00859	0.01	0	9	0
5.89971	0.0162	0.01	0	8	0
5.10897	0.01181	0.01	0	0	0
3.77091	-0.00362	0.01	0	122	0
5.90912	0.00509	0.01	0	20	0
5.49084	0.00231	0.01	0	13	0
5.09071	-0.00093	0.01	0	156	0
4.98373	0.01071	0.01	0	8	0
2.5769	-0.00712	0.01	0	17	0
2.60584	-0.00733	0.01	0	24	0
3.13142	-0.01042	0.01	0	2	0
2.83703	-0.01212	0.01	0	5	0
3.38879	-0.00802	0.01	0	15	0
3.1048	-0.00676	0.01	0	3	0
3.75319	-0.00141	0.01	0	103	0
1.90192	-0.01106	0.01	0	18	0
1.91641	-0.01671	0.01	0	6	0
2.78195	-0.01205	0.01	0	4	0
2.80325	-0.0083	0.01	0	16	0
1.65856	-0.01123	0.01	0	3	0
2.33227	-0.01048	0.01	0	4	0
1.60524	-0.01651	0.01	0	6	0
1.51555	-0.01768	0.01	0	2	0
1.58705	-0.01852	0.01	0.1	13	0
1.50042	-0.01157	0.01	0	0	0
1.62207	-0.00937	0.01	0	3	0
5.22878	0.00641	0.01	0	90	0
4.65222	0.00246	0.01	0	5	0
4.53731	0.00367	0.01	0	28	0
5.58435	-0.00186	0.01	0	152	0
4.84356	0.00189	0.01	0	44	0
5.65796	0.00823	0.01	0	12	0
5.68941	0.01065	0.01	0	34	0
5.02503	0.00786	0.01	0	7	0
2.81768	-0.0093	0.01	0	1	0
2.72368	-0.00771	0.01	0	14	0
3.0265	-0.00643	0.01	0	12	0
3.00328	-0.00906	0.01	0	6	0
3.6414	-0.0039	0.01	0	55	0
3.17919	-0.00867	0.01	0	3	0
3.13988	-0.00715	0.01	0	17	0
1.96039	-0.01073	0.01	0	0	0
2.26207	-0.01048	0.01	0	9	0
2.26755	-0.01206	0.01	0	12	0
2.73594	-0.0111	0.01	0	7	0
1.87215	-0.01512	0.01	0	7	0
2.04476	-0.01197	0.01	0	5	0
2.63912	-0.00595	0.01	0	0	0
1.58594	-0.01382	0.01	0	0	0
2.05123	-0.01428	0.01	0	3	0
2.43598	-0.01052	0.01	0	3	0
1.52695	-0.01608	0.01	0	7	0
1.93671	-0.01088	0.01	0	11	0
1.57137	-0.01011	0.01	0	7	0
4.66055	0.00482	0.01	0	97	0
5.31499	0.01049	0.01	0	3	0
6.00306	0.01162	0.01	0	6	0
3.93057	-0.00863	0.01	0	38	0
5.99035	0.00666	0.01	0	5	0
4.88629	0.0018	0.01	0	18	0
4.36347	0.00406	0.01	0	71	0
2.70981	-0.01196	0.01	0	9	0
2.84534	-0.00897	0.01	0	4	0
2.89067	-0.00822	0.01	0	13	0
3.18912	-0.00633	0.01	0	22	0
3.59795	-0.00463	0.01	0	34	0
3.95039	-0.00208	0.01	0	34	0
1.94236	-0.01439	0.01	0	0	0
2.36428	-0.01348	0.01	0	6	0
2.88067	-0.00666	0.01	0	18	0
2.65675	-0.00613	0.01	0	3	0
1.85652	-0.01262	0.01	0	0	0
2.50565	-0.01065	0.01	0	7	0
1.77259	-0.01643	0.01	0	1	0
1.66399	-0.01743	0.01	0.1	11	0
1.73423	-0.01245	0.01	0	10	0
1.69249	-0.00983	0.01	0	4	0
2.39503	-0.01095	0.01	0	14	0
2.01362	-0.01709	0.01	0	5	0
2.29345	-0.01499	0.01	0	10	0
2.90121	-0.00743	0.01	0	2	0
2.99315	-0.00586	0.01	0	4	0
1.62851	-0.01273	0.01	0	3	0
1.83565	-0.01778	0.01	0	1	0
1.6286	-0.01467	0.01	0	1	0
1.74572	-0.01394	0.01	0	1	0
1.82398	-0.01046	0.01	0	0	0
1.88311	-0.014	0.01	0	0	0
2.16869	-0.00956	0.01	0	25	0
2.56232	-0.01243	0.01	0	0	0
1.6498	-0.01494	0.01	0	11	0
1.92641	-0.01107	0.01	0	17	0
2.28417	-0.00595	0.01	0	2	0
2.26993	-0.00948	0.01	0	1	0
2.03634	-0.01245	0.01	0	12	0
2.16355	-0.0112	0.01	0	1	0
1.95276	-0.01187	0.01	0	3	0
2.52189	-0.00724	0.01	0	15	0
1.75978	-0.01	0.01	0	13	0
1.75693	-0.01214	0.01	0	0	0
26.02.2022	12:00:22				
0					
13.57					
5.16213	0.01168	0.01	0	3	0
5.99248	0.02075	0.01	0	4	0
5.08641	0.01297	0.01	0	4	0
3.82035	0.00246	0.01	0	133	0
5.90325	0.00602	0.01	0	7	0
5.49336	0.00432	0.01	0	11	0
5.07844	0.00425	0.01	0	60	0
4.96943	0.01383	0.01	0	1	0
2.58847	-0.00362	0.01	0	26	0
2.60702	-0.00497	0.01	0	26	0
3.12871	-0.00861	0.01	0	12	0
2.84929	-0.01031	0.01	0	4	0
3.37713	-0.00533	0.01	0	26	0
3.10283	-0.0044	0.01	0	8	0
3.74111	-0.00055	0.01	0	122	0
1.89677	-0.01225	0.01	0	11	0
1.91633	-0.01291	0.01	0	4	0
2.77974	-0.01088	0.01	0	11	0
2.79533	-0.00613	0.01	0	29	0
1.66092	-0.00862	0.01	0	2	0
2.33922	-0.0089	0.01	0	26	0
1.60704	-0.01516	0.01	0	4	0
1.51688	-0.01491	0.01	0.1	13	0
1.58585	-0.01214	0.01	0	7	0
