A	B	M	N
1	4	2	3		
4	7	5	6		
7	10	8	9		
10	13	11	12		
13	16	14	15		
16	19	17	18		
19	22	20	21		
22	25	23	24		
1	7	3	5		
4	10	6	8		
7	13	9	11		
10	16	12	14		
13	19	15	17		
16	22	18	20		
19	25	21	23		
2	11	5	8		
3	12	6	9		
11	20	14	17		
12	21	15	18		
1	13	5	9		
10	22	14	18		
4	19	9	14		
2	20	8	14		
3	21	9	15		
1	22	8	15		
1	25	9	17		
2	5	3	4		
5	8	6	7		
8	11	9	10		
11	14	12	13		
14	17	15	16		
17	20	18	19		
20	23	21	22		
23	26	24	25		
2	8	4	6		
5	11	7	9		
8	14	10	12		
11	17	13	15		
14	20	16	18		
17	23	19	21		
20	26	22	24		
1	10	4	7		
6	15	9	12		
10	19	13	16		
15	24	18	21		
5	17	9	13		
8	20	12	16		
14	26	18	22		
2	17	7	12		
8	23	13	18		
11	26	16	21		
1	19	7	13		
6	24	12	18		
2	23	9	16		
3	6	4	5		
6	9	7	8		
9	12	10	11		
12	15	13	14		
15	18	16	17		
18	21	19	20		
21	24	22	23		
3	9	5	7		
6	12	8	10		
9	15	11	13		
12	18	14	16		
15	21	17	19		
18	24	20	22		
4	13	7	10		
5	14	8	11		
13	22	16	19		
14	23	17	20		
3	15	7	11		
12	24	16	20		
6	21	11	16		
4	22	10	16		
5	23	11	17		
3	24	10	17		
7	16	10	13		
8	17	11	14		
9	18	12	15		
16	25	19	22		
17	26	20	23		
2	14	6	10		
7	19	11	15		
1	16	6	11		
5	20	10	15		
4	16	8	12		
6	18	10	14		
9	21	13	17		
11	23	15	19		
3	18	8	13		
7	22	12	17		
9	24	14	19		
10	25	15	20		
7	25	13	19		
8	26	14	20		
5	26	12	19		
13	25	17	21		
4	25	11	18		
2	26	10	18
